latitude,longitude
41.0618569,28.6878197
41.0696014,28.8039982
41.0797386,28.8032557
41.0860443,28.8041662
41.083317,28.7821641
41.0625786,28.6854147
41.1085064,28.8095854
41.105383,28.6691296
41.0738958,28.7509008
41.1200864,28.8012589
41.0680676,28.6903563
41.1019435,28.798709
41.0611008,28.6876303
41.0601831,28.6884886
41.0600444,28.6880999
41.0621453,28.6875973
41.062229,28.8061252
41.0655414,28.7953399
41.0623374,28.8081159
41.0635802,28.7466293
41.0643299,28.7515568
41.0666084,28.8044928
41.0981387,28.7674465
41.0845531,28.7967313
41.0802464,28.7941205
41.0800851,28.7940823
41.0666352,28.8045071
41.1229643,28.7474467
41.0670737,28.8053667
41.1174132,28.807361
41.1088738,28.7583997
41.0733183,28.7503792
41.1090188,28.8028098
41.0708248,28.8096982
41.0773065,28.8083763
41.0632091,28.7464869
41.0629217,28.6862047
41.0634485,28.6856403
41.0628789,28.6857795
41.0631133,28.6859813
41.0629824,28.6860882
41.1037202,28.7919118
41.0903098,28.8109351
41.0631066,28.8067302
41.0634254,28.8070392
41.0634631,28.8077079
41.0632773,28.8085459
41.0637659,28.8066832
41.0625153,28.8075952
41.1084088,28.8096355
41.1080444,28.8108366
41.0652597,28.7847865
41.1077774,28.803151
41.1146304,28.8105094
41.074068,28.809797
41.0617427,28.6874701
41.0674616,28.8088507
41.0867318,28.7511357
41.0745969,28.7494145
41.0868563,28.7527144
41.0801734,28.7519826
41.0743446,28.7518858
41.0730152,28.7516759
41.0726451,28.8083905
41.0730132,28.7487474
41.0671485,28.7335013
41.0679112,28.8110015
41.0778914,28.7984422
41.0642747,28.6866919
41.1006073,28.8090683
41.0648375,28.7839082
41.0636853,28.8092778
41.0635856,28.8069614
41.1025555,28.7872909
41.0756635,28.8111792
41.0931213,28.7750945
41.0759609,28.8093058
41.0931454,28.8057859
41.0689593,28.8096933
41.0690022,28.8097909
41.0681299,28.8111705
41.0706492,28.7945181
41.0598711,28.6992785
41.0633215,28.746725
41.0927416,28.7926027
41.071198,28.8097335
41.0711991,28.809944
41.0713524,28.8100009
41.0716794,28.8082923
41.0762486,28.8055793
41.0941157,28.7719415
41.0982344,28.7674612
41.1014985,28.7682222
41.0994978,28.7616062
41.1009219,28.7616597
41.0947522,28.7743741
41.0767003,28.7984562
41.0793426,28.7514151
41.0809431,28.7213747
41.0806562,28.7216852
41.0720008,28.7810016
41.072304,28.6893556
41.0737607,28.6664343
41.0701563,28.6851991
41.0742358,28.6664321
41.0747434,28.6670819
41.0759164,28.6675405
41.075832,28.6674493
41.0758533,28.6677115
41.0757921,28.6676538
41.0757431,28.6676042
41.0756839,28.6675385
41.0817758,28.7520487
41.0805407,28.7514256
41.0724923,28.8109606
41.0955329,28.7908182
41.0773076,28.7487784
41.0800511,28.8059014
41.0689366,28.8095298
41.107059,28.7692683
41.0755976,28.6951657
41.0777979,28.6941126
41.0726743,28.6938086
41.0723362,28.6894698
41.0727491,28.6821205
41.0725553,28.6807442
41.0705869,28.6875225
41.0816371,28.6838324
41.0703793,28.6660492
41.0727897,28.6657084
41.0625717,28.8080567
41.0625798,28.8070804
41.0626445,28.8074613
41.0625313,28.8077831
41.0622683,28.8068551
41.0626486,28.8071984
41.0626486,28.807354
41.0639307,28.8070214
41.0634332,28.8075364
41.0642907,28.8069275
41.103559,28.7919592
41.1037552,28.7918483
41.0633746,28.8070946
41.1097477,28.788484
41.1098001,28.7886842
41.1096178,28.7885841
41.1095592,28.7887148
41.1095319,28.7886286
41.1093831,28.7889206
41.1091631,28.7887676
41.1037575,28.7917264
41.1037292,28.7916299
41.1045658,28.7854389
41.112446,28.7855184
41.1071536,28.789661
41.1070667,28.7897066
41.1072648,28.7896691
41.1078353,28.7897656
41.107229,28.7846917
41.1078836,28.7826756
41.1089891,28.7861439
41.0999183,28.7902249
41.099725,28.790576
41.099615,28.7857962
41.1019034,28.7875219
41.102052,28.7866561
41.0751975,28.8091841
41.0749862,28.809483
41.1082544,28.7581699
41.0979832,28.7673848
41.0978797,28.7673821
41.0978675,28.7675329
41.1052899,28.7593192
41.1073519,28.7572866
41.1085281,28.7574422
41.1085362,28.7576997
41.1010285,28.7612513
41.1249366,28.7534548
41.1075795,28.8031495
41.1065574,28.8032515
41.1078108,28.8031518
41.1073658,28.8031942
41.1089284,28.8026809
41.1088672,28.8029324
41.1068552,28.8032359
41.1072745,28.8031968
41.1089684,28.8027232
41.1071754,28.8032053
41.1066979,28.8032591
41.107733,28.8031508
41.1070637,28.8032181
41.1089647,28.8027421
41.1089454,28.8029563
41.1088525,28.8029465
41.1071048,28.8032098
41.1064818,28.8032459
41.1082669,28.803174
41.1066269,28.803261
41.1088763,28.8029227
41.1081798,28.8031748
41.1063351,28.8033195
41.1089763,28.8026838
41.1088402,28.8029633
41.1074681,28.8031718
41.1076806,28.8031468
41.1081204,28.8029988
41.1078515,28.8031454
41.1074076,28.8031904
41.1078317,28.8031488
41.1070164,28.8032211
41.114915,28.7608468
41.0728466,28.7932272
41.1315915,28.780741
41.1315214,28.7800536
41.0994898,28.7891716
41.0959494,28.792031
41.0969547,28.7922056
41.1031273,28.7939418
41.0611143,28.6873035
41.0914922,28.6462711
41.0998174,28.766472
41.0623058,28.6835394
41.0728253,28.8043753
41.0603468,28.6987055
41.0653494,28.793731
41.1320598,28.7790306
41.1331565,28.776901
41.1366773,28.7718386
41.1144624,28.7685369
41.1190669,28.7711348
41.1198,28.7720903
41.1197991,28.7729801
41.1190604,28.7730644
41.1190635,28.7720793
41.1189574,28.7711187
41.1198363,28.7717664
41.1179006,28.7777638
41.1179652,28.7772301
41.118136,28.776058
41.118335,28.7762202
41.1183613,28.7758407
41.1189028,28.7775037
41.1161688,28.772054
41.1165348,28.7738959
41.1158402,28.7731417
41.1161969,28.7745096
41.1143142,28.7712788
41.1118941,28.7687668
41.1119659,28.768906
41.1126754,28.7697803
41.1137435,28.7709089
41.1143823,28.7702597
41.1151944,28.7709494
41.113661,28.769647
41.1134124,28.7688064
41.1144625,28.7691338
41.1153059,28.7697434
41.1159335,28.7705271
41.1175288,28.7680824
41.1167851,28.7680993
41.1180699,28.768107
41.1139451,28.7684349
41.1140145,28.7683405
41.114082,28.7681871
41.1140485,28.768267
41.1162966,28.7687253
41.11723,28.7694785
41.1010799,28.6686011
41.0881597,28.6825033
41.0637685,28.6875904
41.0638444,28.6874182
41.0620669,28.6876745
41.0624448,28.6869855
41.0624696,28.6868107
41.0625493,28.6866328
41.0621847,28.686472
41.0620941,28.6865691
41.0620146,28.6868454
41.0619541,28.6870036
41.0633498,28.6882687
41.0627263,28.6856306
41.0636749,28.6829273
41.0637734,28.6824485
41.06343,28.6823882
41.063271,28.682358
41.0638062,28.6833425
41.064387,28.6864241
41.0641285,28.6869858
41.0640766,28.6870631
41.0640347,28.687144
41.0641619,28.687369
41.0638682,28.6877434
41.0637525,28.6876875
41.0622597,28.687161
41.0621693,28.6873019
41.0674293,28.6915499
41.0673647,28.691469
41.0678544,28.6906173
41.0642465,28.6867125
41.0701702,28.6854301
41.0702079,28.6860481
41.1184923,28.7734029
41.0851457,28.6702044
41.1023996,28.7763276
41.0702689,28.6864845
41.1274913,28.7909474
41.0850178,28.7730618
41.0947798,28.7713825
41.0948061,28.7713168
41.0948218,28.7712765
41.0948212,28.7712999
41.1090163,28.8028288
41.1039837,28.8033978
41.1047386,28.8046286
41.1048908,28.8046843
41.1047867,28.8043721
41.1050552,28.8043744
41.1149213,28.8101654
41.0704005,28.8100132
